cui,name,entidad,departamento,provincia,distrito,MONTO_VIABLE,COSTO_ACTUALIZADO,DEFASE_MONTO,estado,avance_fisico_real_soles,avance_inversion_soles,desfase_avance_fis_fin,ejec_fis_program_inicio,ejec_fis_real_inicio,ejec_fis_program_final,ejec_fis_real_final,ano_ejecucion,ubigeo,latitud,longitud
2221270,"INSTALACION DEL SISTEMA DE RIEGO EN LOS SECTORES DE COYPA, AYUSBAMBA, COLQUEURO Y URBES, DISTRITO DE PACCARITAMBO - PARURO - CUSCO",PROYECTO ESPECIAL SIERRA CENTRO SUR,AYACUCHO,HUAMANGA,AYACUCHO,9910100,26212699,164.50488895167555,ACTIVO,1764114642.6999998,1763590388.72,-0.019999999999996021,,2016-02-01,,2024-02-29,2024,081007,-13.755997979999961,-71.956053359999942
2192958,"INSTALACION DE LOS SERVICIOS DE EDUCACIÓN INICIAL ESCOLARIZADO EN SIETE INSTITUCIONES EDUCATIVAS DEL AMBITO DEL DISTRITO DE VINCHOS Y CARMEN ALTO, DE LA PROVINCIA DE HUAMANGA, REGION AYACUCHO",GOBIERNO REGIONAL AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,7853815,18337313,133.48287424646495,ACTIVO,1802191121.64,1782020077.3400002,-1.0999999999999943,,2020-02-03,,2023-10-05,2023,050104,-13.175569889999963,-74.226211919999969
2206063,"CREACION DE PISTAS Y VEREDAS EN EL JR. CIRO ALEGRÍA Y EL JR. SAN CRISTÓBAL DEL BARRIO DE BELÉN  DEL DISTRITO DE AYACUCHO, PROVINCIA DE HUAMANGA - AYACUCHO",MUNICIPALIDAD PROVINCIAL DE HUAMANGA,AYACUCHO,HUAMANGA,AYACUCHO,789863,2824894,257.64354071528862,ACTIVO,68305936.92,68305936.92,0,,2023-08-01,,2023-11-28,2023,050101,-13.163253850520762,-74.231209502011268
2173449,"MEJORAMIENTO DEL SERVICIO EDUCATIVO DE LA INSTITUCION EDUCATIVA INICIAL N 432-35/MX-U NUEVO AMANECER - YANAMA DEL DISTRITO DE CARMEN ALTO, PROVINCIA DE HUAMANGA - AYACUCHO",GOBIERNO REGIONAL AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,1455802,4673920,221.0546489151684,ACTIVO,246081888,238884051.2,-1.5399999999999991,,2022-11-02,,2023-11-07,2023,050101,-13.1598845,-74.2239456
2230605,"MEJORAMIENTO DE LA PRESTACION DE SERVICIOS EDUCATIVOS DEL NIVEL INICIAL, PRIMARIA, SECUNDARIA Y ALTERNATIVA DE LA I.E. SAN RAMON, DISTRITO DE AYACUCHO, HUAMANGA - AYACUCHO.",GOBIERNO REGIONAL AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,36489252,45242445,23.988414451466422,ACTIVO,4344631993.35,4372682309.25,0.62000000000000455,,2014-03-03,,2023-06-07,2023,050101,-13.1598845,-74.2239456
2220713,"INSTALACION DEL SERVICIO DE AGUA  DEL SISTEMA DE RIEGO ACCOMACHAY, DISTRITO DE ARMA, PROVINCIA DE CASTROVIRREYNA - HUANCAVELICA",PROYECTO ESPECIAL SIERRA CENTRO SUR,AYACUCHO,HUAMANGA,AYACUCHO,9890688,15115698,52.827568719183141,ACTIVO,,,,,2022-04-01,,2023-04-01,2023,090402,-13.12627067999995,-75.541623839999943
2113615,"CONSTRUCCION DEL SISTEMA DE RIEGO CCECCA - ISHUA - HUAYCAHUACHO, DISTRITO DE AUCARA - LUCANAS - AYACUCHO",GOBIERNO REGIONAL AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,5953308,16985897,185.31863293483218,ACTIVO,794600261.66,794600261.66,0,,2020-05-31,,2023-07-31,2023,050602,-14.281703,-73.97498
2230603,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE EDUCACIÓN SUPERIOR NO UNIVERSITARIA EN EL INSTITUTO SUPERIOR PEDAGÓGICO BENIGNO AYALA ESQUIVEL  DISTRITO DE CANGALLO - PROVINCIA DE CANGALLO - DEPARTAMENTO DE AYACUCHO,GOBIERNO REGIONAL AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,13506262,23695488,75.440754814322418,ACTIVO,1772185547.5200002,1749911788.8,-0.94000000000001194,2020-09-01,2022-01-08,2021-06-01,2023-06-16,2023,050201,-13.628180159999943,-74.143250639999962
2254348,"CREACION DE CAMINO VECINAL ENTRE LAS COMUNIDADES DE SAN JOSE-SILLACCASA Y YANTA YANTA  EN EL DISTRITO DE SANTA ROSA, PROVINCIA DE LA MAR - AYACUCHO",GOBIERNO REGIONAL AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,64884977,74253016,14.437916807768922,ACTIVO,1010583547.76,1035087043.04,0.33000000000000007,,2021-10-18,,2024-05-18,2024,050507,-12.947979509999982,-74.019399839999949
2250249,"MEJORAMIENTO DEL SERVICIO EDUCATIVO DEL NIVEL SECUNDARIO DE LA I.E.P. GENERAL CORDOVA DEL DISTRITO DE VILCASHUAMAN, PROVINCIA DE VILCASHUAMAN, REGION AYACUCHO.",GOBIERNO REGIONAL AYACUCHO,AYACUCHO,HUAMANGA,AYACUCHO,14761673,43135830,192.21504906659291,ACTIVO,3561294124.8,3560000049.9,-0.030000000000001137,,2019-04-30,,2023-11-11,2023,051101,-13.653904139999952,-73.952745119999975
